texto,categoria,tipo
"RENAP: El envío por mensajería de tu nuevo DPI no pudo ser entregado por error en la zona postal. Por favor, verificá y corregí tu domicilio en https://renap-entregas-gt.com/dpi antes de 24 hrs."," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
BAM Notificaciones: Se detuvo una importación de aduana a su nombre por falta de pago de impuestos. Realice el pago con su cuenta BAM aquí: https://bam-aduanas-gt.cc/login para programar el envío a su casa.," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Claro GT: Tu solicitud de renovación de equipo fue procesada, pero el courier no encuentra tu casa. Actualizá tu dirección exacta en https://claro-courier-guate.top/envios para recibir tu teléfono mañana mismo."," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"IGSS Informa: El paquete con sus medicamentos crónicos mensuales fue devuelto al centro de distribución por dirección incorrecta. Para reprogramar el envío a su domicilio hoy, ingrese a https://igss-envios-gt.com/rx"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"SAT ADUANAS: Estimado contribuyente, su paquete internacional esta retenido por falta de pago de aranceles. Confirme su entrega aqui: http://sat-aduanas-gt.com/pago"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT te informa: Tu paquete de importacion esta pendiente de revision. Para liberar tu maleta ingresa tus datos en: https://bit.ly/sat-gt-liberacion," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
BANRURAL: Falla en la entrega de su paquete (Nueva Tarjeta). Por favor actualice su direccion de envio para que te la mandemos o sera cancelada: http://banrural-entregas.net," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Claro GT: ¡Felicidades vos! Te ganaste un paquete con un cel de ultima generacion. Reclama tu envio confirmando tu direccion aca: https://claro-premios-gt.info," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
TIGO: Tu paquete con el nuevo equipo esta listo para envio. Confirma a que hora queres recibirlo en el siguiente enlace: https://tigo-envios.com/r/827," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
MIGRACION GUATEMALA: Su paquete con pasaporte visado no pudo ser entregado en su domicilio. Reprograme la entrega de su documento en: http://migracion-gt-envios.org," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
BAM: Tu paquete con chequera y tarjeta de credito esta retenido en ruta. Para evitar el bloqueo de la entrega valida tu identidad hoy: https://bam-seguridad-gt.com/paquete," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT NOTIFICA: Tiene un paquete (maleta) retenido en aduana Express Aereo. Pague el impuesto de importacion de Q25.50 para recibirlo: https://sat-enlinea-pagos.com/paquete," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT Aduanas informa: Su paquete internacional está retenido en zona 13 por falta de pago de aranceles. Evite multas y libere su envío ingresando su DPI aquí: https://sat-aduanas-gt.com/pago?id=9928," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Banrural le notifica un cargo pendiente de Q25.50 por liberación de su paquete de Amazon en aduana. Pague hoy o el paquete será devuelto. Enlace seguro: https://banrural-pagos-linea.net/aduana," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Instituto Guatemalteco de Migración: Tu maleta enviada por tu familiar está retenida. Para autorizar la entrega a tu domicilio, validá tus datos acá: https://migracion-gt-maletas.info/auth"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Tigo Guatemala: Tu nuevo celular en canje va en camino pero el mensajero no dio con tu casa. Confirma la dirección exacta de tu colonia aquí para entregarlo hoy: https://tigo-entregas-gt.com/track," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Claro te informa: El técnico no pudo dejarte el nuevo router porque no había nadie en tu casa. Reprogramá la entrega del equipo ingresando a: http://bit.ly/claro-entregas-gt," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"EMETRA notifica: El camión con su encomienda fue retenido. Para gestionar el traslado de sus bienes a otra unidad, pague la remisión de tránsito aquí: https://emetra-multas-gt.org/envios"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"IGSS: Estimado afiliado, no pudimos entregar sus medicinas a domicilio por dirección incorrecta. Actualice los datos de su residencia para el envío aquí: https://igss-farmacia-envios.net/datos"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"RENAP y BAM te recuerdan que para despachar tu encomienda retenida, debés confirmar tu número de DPI y dirección exacta de entrega en: http://bam-autorizaciones.com/despacho-aduanal"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT Informa: Su encomienda internacional fue retenida en aduana por falta de pago de aranceles. Cancele Q45.00 a traves de su banca Banrural o BAM en el siguiente enlace para liberar: https://sat-aduanas-gt.com/pago Evite el abandono de sus maletas.," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Aviso de entrega: Tenés un paquete en la central pero la dirección no coincide con tu DPI de RENAP. Actualizá tus datos de entrega en las próximas 24 hrs o será devuelto. Ingresa acá: https://correos-gt-update.net/rastreo," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Cargo Expreso: Intentamos entregar tu paquete hoy pero no estabas. Para reprogramar el envío recarga Q15 de saldo Tigo usando el link y confirma tu zona: https://cargoexpreso-reprogramar.icu/gt," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
GUATEX: Su envío de USA está retenido en nuestra bodega. Necesitamos validar su cuenta BAM para cubrir el costo de almacenaje (Q25). Hacé clic aquí antes de 12 horas o será devuelto: http://guatex-bodegas-gt.xyz/bam," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Instituto Guatemalteco de Migración: Un familiar le ha enviado 2 maletas por el Aeropuerto La Aurora, pero exceden el peso permitido. Pague la multa usando su portal Banrural en el siguiente enlace para liberarlas: https://migracion-maletas.top/pagos"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT Aduanas: Su paquete de Amazon no pudo pasar inspección. Se requiere declaración jurada y pago de Q35.00 deducidos de su cuenta Claro Pay o tarjeta. Llene el formulario urgente: http://sat-declaracion-paquetes.com/gt," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Atención: Su encomienda con medicamentos está retenida. Para que el IGSS apruebe el ingreso sanitario, debe actualizar su información de afiliado y dirección física aquí: https://igss-aduanas-salud.info/liberar"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Aduana Express: Tenés un paquete pendiente de entrega en la capital. El número de casa está incompleto. Verificá tu identidad con el CUI de tu RENAP y depositá Q10 de gestión en Banrural: https://aduanagt-express.online/entregas," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Estimado, vimos su perfil en línea. Banrural está buscando personal para trabajo remoto validando datos. Puede ganar de Q200 a Q1,000 diarios. Solo necesita su celular o compu. Escríbanos aquí: http://wa.me/50299887766","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"¿Cansado de hacer grandes colas? Te tramitamos tu pasaporte de Migración y reposición de DPI de RENAP en 24 horas, sin hacer citas. Pago contra entrega. Más info al link: bit.ly/tramitesGuate","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"¡Hola! Tigo y Claro buscan asesores virtuales de medio tiempo. Podes ganar hasta GTQ 5,000 a la semana desde tu casa. Requisito: mayor de 18 años y tener cuenta BAM. Da clic acá para aplicar: http://wa.me/847362534","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
¿Tenes multas en EMETRA o problemas de omisos con la SAT? Te limpiamos tu récord por solo el 20% del total de la deuda. Trámite 100% seguro y rápido. Contactanos en Telegram: https://t.me/tramitadorGT_502,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"Notificación oficial: Su CV ha sido seleccionado para una plaza administrativa remota en el IGSS. Salario base GTQ 4,000 mensuales. No hay horario fijo. Para aceptar el puesto ingrese a: http://empleos-igss.com/aplicar","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"¡Te garantizamos tu Visa Americana! Asesoría completa, no importa si tenés mal récord crediticio o si no tenés cuenta en Banrural. Cupos limitados para citas este mes. Escribí ya: wa.me/1800555visa","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
Buscamos digitadores online para procesos de SAT. Es un chance facilísimo y vos pones tu propio horario. Pagamos Q150 diarios directo a tu cuenta Banrural o BAM. Hablanos por WhatsApp para iniciar: http://wa.me/85746352?gt=1,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
Aprende a reparar celulares y liberarlos para redes Tigo y Claro. Taller online intensivo en 3 días. Te conseguimos chance seguro al terminar. Inscribite hoy con 50% de descuento aquí: bit.ly/curso-celularesGT,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"SAT: Estimado contribuyente, su paquete internacional esta retenido en aduanas. Para liberar la entrega y evitar multas pague Q45.00 aqui: http://sat-gt-aduanas.com"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Banrural: Vos, tu tarjeta de debito no pudo ser entregada en tu casa hoy. Actualiza tu direccion de envio en este enlace o sera destruida: https://banrural-entregas-gt.net"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
TIGO: Felicidades! Tienes un paquete pendiente (smartphone nuevo) por ser cliente fiel. Paga el envio de Q25 para recibirlo hoy: http://tigo-premios-gt.info," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Migracion GT: Su pasaporte enviado por encomienda esta pendiente de entrega por direccion incorrecta. Actualice sus datos aqui: http://migracion-entregas.com," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
BAM: Notificacion urgente. El paquete con su nueva chequera y token esta retenido. Programe la re-entrega inmediata ingresando a: https://bam-gt-servicios.com/paquete," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT Informa: Fijate que tu paquete de importacion no paso revision. Paga el impuesto pendiente hoy mismo o tus bienes se pierden: http://sat-pagos-aduana.org," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Claro Guatemala: No pudimos entregar el paquete con tu equipo de internet. Reprograma la entrega confirmando tu ubicacion y tarjeta aqui: http://claro-entregas-gt.com," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
RENAP: Tu documento DPI tramitado no pudo entregarse. Paga la tarifa de mensajeria express (Q30.00) para enviar tu paquete hoy mismo: https://renap-envios.net," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Estimado contribuyente, la SAT le informa que su paquete internacional está retenido en aduana. Para liberar su envío, pague el impuesto de importación aquí: http://sat-aduanas-gt.info"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Que tal, te informamos de la SAT que tenés una encomienda retenida por falta de pago de aranceles. Evitá multas y liberá tu paquete hoy mismo ingresando a: bit.ly/sat-paquetes-gt"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Aviso urgente de Migración y SAT: Su maleta enviada desde USA está retenida en el aeropuerto. Se requiere el pago de impuestos para su entrega. Cancele en línea: https://liberacion-sat-gt.com," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Buen día, le notificamos que su paquete de compras por internet fue detenido por SAT. Pague el formulario de importación de Q250.00 en este enlace para recibirlo: http://sat-gt-import.net"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Mano, tu paquete de USA no pasó la aduana de la SAT por un problema de declaración. Para que te lo entreguemos tenés que actualizar tus datos y pagar la multa de inmediato: enlace-sat.com/gt"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
SAT INFORMA: Su encomienda se encuentra en estado de abandono en Aduana. Último día para reclamar y pagar los impuestos correspondientes para evitar decomiso: http://tramites-sat-gob.com," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Notificación SAT: Tiene un paquete detenido. Pague sus impuestos de aduana a través de nuestro portal falso de Banrural de forma rápida y evite que regrese al remitente: http://banrural-sat-pagos.com," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Su maleta está retenida por la SAT en el aeropuerto La Aurora. Pague la cuota de liberación aduanera de Q500 antes de 24 hrs o será subastada. Detalles: bit.ly/aduanas-aurora," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"TIGO GUATEMALA Reclutamiento: Trabajá desde casa calificando nuestros servicios. Gana de Q150 a Q500 por día. Solo necesitás tu cel, vos decidís tu horario. Escribile a la reclutadora en Telegram: https://t.me/EmpleoTigoGT","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
Agencia BAM busca personal para atención virtual. Mayores de 20 años. Ingresos diarios calculados desde Q200. Hacé pisto fácil solo usando tu teléfono. Aplicá ya con el gestor: wa.me/50255551234,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
¿Cansado de hacer cola en RENAP o Migración? Te sacamos tu DPI o Pasaporte express sin ir a la agencia. 100% garantizado en el sistema. Mandanos un whats para info: https://bit.ly/tramitesGT-rapido,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"Banrural tiene plazas disponibles de medio tiempo. Gana hasta Q500 diarios desde tu casa muchá, sin experiencia. Hablá con recursos humanos en este link para aplicar: https://t.me/BanruralEmpleos","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
Problemas con la SAT? Te limpiamos tus omisos y deudas de vehículos. También borramos tus multas de EMETRA con el 70% de descuento. Trámite seguro chato. Escribinos: https://t.me/GestorGuateSAT,"Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"Claro Guatemala necesita evaluadores online, ganá Q300 diarios pisto en mano solo por dar likes a videos. Mayor de 21 años. Contactá a la licenciada acá: https://wa.link/ClaroEmpleoGuate","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"Gestores IGSS Guate: Aceleramos su jubilación, pago de suspensiones o afiliación al seguro social. No dé más vueltas, nosotros hacemos el trámite por usted. Info al WhatsApp: https://wa.me/50244449999","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
"Asesores de Migración te informan: Visas de trabajo H2B para USA 100% garantizadas, tramitamos tus papeles sin anticipos. Cupo limitado muchá! Aplicá mandando msj al gestor: https://t.me/VisasGuateUSA","Servicios y trabajo (ofertas de empleo, visas, servicios no realizados, talleres)",Spam
SAT le notifica: Tiene una omisión de impuestos pendiente correspondiente al periodo 2023. Evite arraigo y multas pagando hoy. Consulte el estado de su NIT aquí: https://portal-sat.gt-verificacion.com. Responda 'Aceptar' para más info., No sé / Otra,Spam
"RENAP informa: Su DPI presenta una anomalía en el registro biométrico y será bloqueado en 24h. Para evitar la cancelación de su documento, actualice sus datos en: https://renap-en-linea.icu/tramites. Responda 'SI' si necesita ayuda.", No sé / Otra,Spam
"Estimado cliente Banrural, su cuenta ha sido suspendida temporalmente por intentos de acceso sospechosos. Para recuperar el acceso y evitar bloqueos preventivos, ingrese a: https://banrural-seguridad.top/gt. Si no reconoce los accesos, responda 'NO'.", No sé / Otra,Spam
"Notificación IGSS: Tiene un reembolso de Q1,500 aprobado a su favor por aportes excedentes. Para que el depósito sea procesado a su cuenta, llene el formulario en: https://igss-afiliados.xyz/reembolsos antes de que caduque el pago.", No sé / Otra,Spam
Aviso importante de EMETRA: Su vehículo tiene 2 multas de cepo no pagadas. Su carro tiene orden de consignación. Verifique las placas y el monto a pagar inmediatamente en: https://multas-emetra-muni.vip/pago. Responda 'PAGO' para asistencia., No sé / Otra,Spam
Instituto Guatemalteco de Migración le informa: Su cita para emisión de pasaporte requiere un pago adicional de Q150 por timbres faltantes. Evite perder su turno ingresando y pagando en: https://migracion-citas.com/gt/pagos. Conteste 'CITA' para detalles., No sé / Otra,Spam
"Estimado usuario Claro, ¡ganaste un iPhone 15 Pro Max en nuestro sorteo de recargas! Para reclamar tu premio solo tenés que confirmar tus datos de envío pagando el costo de mensajería (Q25) aquí: https://premios-claro-gt.online/reclamo", No sé / Otra,Spam
"BAM le informa: Se acaba de aprobar un cargo por Q3,500 en su tarjeta de crédito. Si usted no realizó esta compra, cancele la transacción de forma urgente ingresando a nuestro portal de seguridad: https://bam-alertas-gt.com/cancelar.", No sé / Otra,Spam
SAT le informa: Tiene omisos pendientes de declarar. Evite multas y arraigo ingresando hoy a https://cutt.ly/sat-gt-omisos para regularizar su situacion., No sé / Otra,Spam
"Estimado cliente Banrural, por motivos de seguridad tu cuenta ha sido restringida. Para reactivarla y evitar cobros administrativos, ingresa a: https://banrural-seguridad.com/auth", No sé / Otra,Spam
RENAP: Su DPI aparece con anomalias en el registro central. Debe verificar su identidad en las proximas 24 hrs o el documento sera invalidado. Link: https://renap-enlinea.info/dpi, No sé / Otra,Spam
"TIGO: Ganaste un bono de Q5,000 en efectivo por ser cliente fiel! Reclama tu premio llenando tus datos antes de media noche aqui: http://bit.ly/tigo-premio-gt", No sé / Otra,Spam
"IGSS Notificaciones: Su cita medica ha sido reprogramada y requiere confirmacion urgente. Si no confirma hoy, perdera su turno asignado. Ingrese a: https://igss-citas.online/gt", No sé / Otra,Spam
"BAM: Detectamos una compra sospechosa de Q3,500 en Tiendas MAX. Si no reconoces esta transaccion, cancelala inmediatamente aqui: https://alerta-bam.net/cancelar", No sé / Otra,Spam
Migracion GT: El pago de la cartilla de su pasaporte no se proceso correctamente. Su tramite esta suspendido. Complete la cuota pendiente en: https://pago-migracion.org/tramite, No sé / Otra,Spam
PMT Guatemala (EMETRA): Tu vehiculo tiene una remision por exceso de velocidad (Foto Multa). Pagala con 50% de descuento solo hoy en https://multas-emetra.com/pago, No sé / Otra,Spam
SAT Aduanas le informa: Su paquete internacional esta retenido por falta de pago de aranceles. Evite multas y libere su envio ingresando su DPI aqui: https://sat-aduanas-gt.com/liberar," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Cargo Expreso GT: Intentamos entregar tu encomienda hoy pero no salio nadie. Reprograma la entrega pagando Q15.00 de flete con tu tarjeta Banrural en este enlace: http://reprogramar-cargoexpreso.net/gt," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Aviso de SAT: Estimado usuario, tiene unas maletas retenidas en el Aeropuerto La Aurora. Para autorizar la importacion y evitar decomiso, ingrese a http://aduanas-sat-gob.site/maletas y actualice sus datos."," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Correos de Guatemala: Su paquete no pudo ser entregado por direccion incompleta. Por favor, actualice su domicilio y zona aqui para no devolverlo al remitente: qrco.de/gt-correos-2023"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Tigo te notifica que tenes un paquete internacional esperando confirmacion. El mensajero no encontro tu casa. Actualiza la info de tu direccion antes de 24 hrs en: http://entregas-gt.com/confirmar," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
Notificacion BAM: Tenes un pago pendiente de Q45.50 por gestion aduanera de SAT para liberar tu caja de EE.UU. Paga en linea para que te la entreguen: https://pagos-aduanas-gt.info," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Aduanas GT: Su encomienda esta bloqueada. Para proceder con la entrega a su domicilio, necesitamos validar su identidad con RENAP. Suba foto de su DPI en el siguiente link: http://verificacion-renap-gt.com/paquetes"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Migracion GT: Un familiar le ha enviado unas maletas que estan retenidas en aduana. Para que SAT apruebe la salida, pague el impuesto de importacion aqui: https://tramites-gt-gob.net/pagos"," Paquetes y envíos (maletas, importación, entrega de bienes)",Spam
"Claro - Reclamá tu premio de Q5,000 enviando GANADOR al 777.", No sé / Otra,Spam
"Banrural: Estimado cliente, usted ha ganado. Reclama tu premio ingresando al link.", No sé / Otra,Spam
Tigo - Vos sos nuestro ganador del mes. Reclamá tu premio comunicándote a este número., No sé / Otra,Spam
"BAM - Felicidades, reclama tu premio sorpresa en nuestra banca virtual.", No sé / Otra,Spam
SAT informa: Reclama tu premio del sorteo de facturas. Llama urgente., No sé / Otra,Spam
"IGSS - Afiliado, tenés un bono de regalo. Reclamá tu premio hoy mismo.", No sé / Otra,Spam
"EMETRA - Vecino, ganaste un descuento sorpresa. Reclama tu premio aquí.", No sé / Otra,Spam
RENAP - Reclama tu regalo sorpresa por tu último trámite de DPI., No sé / Otra,Spam
"SAT INFORMA: Gran subasta en linea de vehiculos y repuestos incautados en Aduana. Precios de remate desde Q8,000. Registrate para participar en el evento de liquidacion: https://sat-subastas-gt.icu/registro. Responde SI para enviarte el catalogo.","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
Banrural: Oportunidad unica de inversion. Accede a nuestro remate anual de inmuebles y vehiculos adjudicados. Casas desde Q100k y carros con 40% de descuento. Revisa el catalogo y aparta hoy tu propiedad aqui: http://remates-banrural.vip/gt,"Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"BAM te invita a su venta especial de joyas, muebles de oficina y vehiculos reposeidos. Precios exclusivos para clientes seleccionados. Mira las opciones y hace tu oferta antes de que se agoten: https://bam-bienes-gt.shop/catalogo","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"EMETRA: Su vehiculo placa P-847 tiene orden de embargo por multas acumuladas. Si no regulariza su situacion hoy, su carro pasara a publica subasta. Vea los detalles y evite perder su vehiculo en el siguiente link: https://emetra-pagos.online/multas","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
IGSS: Remate publico extraordinario de inmuebles. Tenemos casas y terrenos recuperados listos para la venta. Excelente oportunidad de inversion. Descarga el listado oficial de propiedades y requisitos aqui: http://bienes-igss-guate.net/inmuebles,"Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"Tigo GT: !Renova tu casa y tu carro! Por ser cliente preferencial, te damos credito directo para la compra de motos, muebles y mercaderia en nuestra gran feria de socios. Ingresa tus datos para precalificar de inmediato: https://tigo-feria-credito.icu","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"Aduanas SAT: Liquidacion total de contenedores abandonados. Venta de lotes de repuestos de vehiculos, joyeria y mas. Precios especiales para mayoristas. Confirma tu asistencia al remate entrando a: http://aduanagt-remates.com. Responde 'Y' para info.","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"Claro Club te trae la Gran Venta de Bodega. Compra muebles, mercaderia y motos nuevas con hasta 60% de descuento. Solo por hoy. Entra con tu numero para ver el inventario disponible y hacer tu pedido: https://claro-bodega-ofertas.vip/gt","Compra o venta de productos (vehículos, joyería, muebles, inmuebles, repuestos)",Spam
"Claro te informa: Vos tenes 4500 Puntos Claro Club a punto de vencer hoy a la medianoche. No perdas tus beneficios. Canjealos por saldo, internet o vales de Super 24 acá: https://claro.premios-gt.com/canje","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"Estimado cliente Banrural, usted ha sido seleccionado como ganador mensual de nuestro sorteo 'Amigo Banrural'. Tiene Q5,000 en premios canjeables. Para reclamar su premio antes de 24 horas ingrese a: http://banrural.gt-recompensas.online/","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"BAM te avisa que tus BAMpuntos (Acumulados: 8,250) expiran este viernes. Evitá perderlos y cambialos por certificados en Cemaco o Paiz. Ingresá rápido a tu banca virtual aquí para el canje: https://bam.puntos-gt.net","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
¡Felicidades usuario Tigo! Tu número salió premiado en nuestro gran Sorteo de Aniversario. Ganaste un Samsung Galaxy S24 y saldo gratis. Confirmá tu dirección de envío en el siguiente enlace seguro: https://tigo-premiosgt.com/reclamar,"Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"Estimado contribuyente, la SAT le informa que por su excelente récord de pago de calcomanía ha ganado un viaje todo pagado a Roatán cortesía de nuestros patrocinadores. Reclame su premio ingresando sus datos aquí: https://sat.premios-contribuyente.gt.com","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
¡Te extrañamos en Claro! Por ser un cliente súper fiel te regalamos un paquete de 50GB y suscripción a Netflix. Solo tenés que activar tu premio de lealtad llenando este formulario hoy mismo: http://claro.regalos-gt.info/,"Premios y recompensas (vacaciones, sorteos, regalos)",Spam
¡Qué onda! Tigo te recuerda que tus 5200 puntos están por caducar. No te quedés sin tus recargas gratis o tus vales de Pollo Campero. Canjeá tus regalitos ya mismo entrando a: https://puntos-tigo-gt.live,"Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"Banrural: Estimado usuario, su tarjeta de crédito ha generado 10,000 Puntos Recompensa por sus compras recientes. Úselos para comprar en Despensa Familiar antes del cierre de mes. Valide su cuenta y canjee aquí: https://banrural-canjesgt.com/recompensas","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"¡TIGO TE PREMIA! Felicidades vos, tu número salio ganador de un pickup Hilux y Q50,000 por tus recargas. Escribí al WhatsApp +50232456789 para reclamarlo hoy con el Lic. Pineda.","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
"Estimado cliente, su cuenta Banrural ha sido la feliz ganadora de Q100,000 del Sorteo Amigo. Para cobrar su premio, comuníquese urgente al tel: 4589-1234 con la Licda. Morales.","Premios y recompensas (vacaciones, sorteos, regalos)",Spam
